champion,kills,deaths,assists,gold,damage,win,duration
Nunu,7,15,12,13868,236095,1,2080
Samira,15,4,4,14238,145359,1,1501
Samira,18,3,4,16882,170899,1,1632
Sion,16,24,23,20218,356999,1,3010
Ziggs,4,18,9,21221,440273,1,3010
Samira,12,8,3,14594,156356,0,1878
Velkoz,1,12,8,7883,46489,0,1878
Gragas,6,5,6,7295,101149,1,1024
Velkoz,4,9,8,6307,27297,1,1024
Kayn,0,4,1,4236,76750,0,951
Morgana,0,5,2,3570,7203,0,951
Briar,6,7,6,10772,197301,1,1622
Morgana,1,8,14,7297,42761,1,1622
Brand,13,6,27,14132,97188,1,1110
Malphite,5,0,2,8867,65076,1,924
Ahri,10,8,38,15019,103070,1,1196
Ziggs,8,9,29,13233,75567,1,1196
Swain,13,12,42,14427,104760,0,1274
Nunu,7,10,51,13565,59079,0,1274
TahmKench,4,8,8,9070,46030,0,1866
Taliyah,12,5,29,12238,80453,1,809
TahmKench,10,3,10,15279,151509,1,2061
Taliyah,5,5,12,13593,168319,1,1806
Karthus,14,1,6,11233,222415,1,1279
TahmKench,7,3,20,10097,55399,1,1279
Chogath,10,14,12,19819,410590,1,2861
Lux,11,12,9,16822,172699,1,2861
Viktor,12,4,7,17243,242594,1,2102
Lux,7,7,19,13025,88971,1,2102
Samira,4,0,4,7318,56976,1,920
Lux,4,0,3,4909,22161,1,920
Kayn,1,0,0,1106,5649,0,124
Lux,0,1,0,543,314,0,124
Lillia,6,8,10,12962,227631,0,2144
Viktor,26,3,9,19814,286993,0,2144
Syndra,9,6,9,14536,188866,1,1842
TahmKench,11,7,15,11773,55401,1,1842
DrMundo,4,1,15,12783,286052,1,1661
Syndra,9,4,6,13345,176789,1,1661
Syndra,1,2,0,5593,57362,1,1038
Brand,1,1,10,5219,26431,1,1038
Nunu,15,15,50,16715,112979,1,1475
Morgana,17,8,54,17866,87291,1,1475
Thresh,10,7,22,10639,37870,1,915
Velkoz,8,5,21,10762,54030,1,915
Akshan,22,12,9,13265,65842,0,870
Milio,2,3,38,8704,22266,0,870
Rammus,6,5,26,16120,381324,1,2532
Kayn,23,4,14,17642,270776,1,1590
Kayn,20,7,10,17730,321796,1,1869
Smolder,21,13,26,19033,209271,1,1485
TahmKench,8,12,23,14465,38669,1,1485
Anivia,10,3,13,17679,279327,0,2232
Malzahar,5,9,4,13817,197924,1,1895
Xerath,12,8,9,17619,275481,0,2651
Samira,29,13,15,18460,98640,1,1218
Veigar,5,7,24,13088,75708,1,1218
Zac,4,11,24,11936,20792,1,1218
Sett,22,8,32,17926,137136,0,1402
Lissandra,10,13,31,15068,109044,0,1402
Lux,11,13,40,14555,72412,0,1402
Caitlyn,12,7,12,13375,101544,0,1031
Blitzcrank,4,7,17,9754,15900,0,1031
Veigar,2,8,19,9821,39638,0,1031
Lux,10,4,7,13524,160768,1,1640
Morgana,3,5,9,8412,29580,1,1640
Brand,5,8,5,12232,167980,1,1766
Nami,1,9,15,8255,20722,1,1766
Taliyah,0,1,0,1962,25224,0,424
Rammus,5,0,11,8755,124553,1,1145
Viktor,5,4,5,7509,81255,1,1145
Briar,2,3,10,8724,165731,1,1294
TahmKench,7,3,7,9129,41633,1,1294
Kindred,6,3,7,6966,108878,1,983
Malzahar,5,1,6,7259,75920,1,983
Mordekaiser,9,5,1,12770,145842,1,1363
TahmKench,9,5,12,10785,44115,1,1363
Chogath,8,6,13,14681,181054,1,2378
Akshan,21,15,10,19923,241632,1,2378
DrMundo,7,5,13,14603,157809,1,1961
DrMundo,3,0,0,6660,79118,1,974
TahmKench,7,6,9,14477,148338,0,2406
TahmKench,4,5,8,8455,68929,0,1513
Renekton,7,2,1,11108,147765,1,1389
Gragas,9,10,12,8209,30009,0,633
DrMundo,4,7,16,14055,202263,1,1974
TahmKench,5,5,1,7558,57912,0,1295
Malphite,3,0,7,9909,96623,1,1322
Chogath,14,5,13,18062,274294,1,2159
Kled,2,4,14,12732,168067,1,1934
Chogath,14,8,17,17436,225422,0,1982
Kaisa,3,15,20,14259,64748,0,1503
Ambessa,13,15,24,18075,161002,0,1503
Jhin,8,2,2,7663,60335,1,866
Nautilus,0,2,8,4517,11577,1,866
DrMundo,14,9,11,14614,160897,0,2055
TahmKench,6,2,14,11424,102628,1,1399
DrMundo,10,5,4,16338,258260,1,1930
DrMundo,2,1,1,7748,82285,1,934
TahmKench,20,1,6,15469,141946,1,1680
Malphite,7,6,9,12145,125047,0,1782
Urgot,11,9,7,15903,177033,0,1930
Chogath,6,6,9,13249,166776,1,1679
Ezreal,17,8,25,15695,130790,0,1285
Ashe,10,8,28,13601,50738,0,1285
Shen,4,0,15,9602,73574,1,1335
Shen,1,7,10,7489,63512,0,1521
Urgot,15,4,3,16479,181851,1,1699
Karma,3,2,13,9607,52667,1,1699
Yone,2,12,7,7598,57820,0,1665
Syndra,3,11,6,10924,128959,0,1665
Karma,4,4,17,10241,36186,0,1771
Jhin,18,5,3,16838,238289,0,1771
Ornn,8,3,13,14013,158406,1,1798
Viktor,6,7,17,16198,244628,1,2291
Urgot,11,3,11,14705,203271,1,1852
Urgot,11,5,3,14360,161773,0,1867
Chogath,4,1,3,11001,141173,1,1417
Illaoi,0,7,2,7974,138039,0,1619
Lillia,5,3,4,10052,224289,1,1630
Jhin,21,4,9,15952,170324,1,1630
TahmKench,3,1,8,9417,86446,1,1282
Viktor,8,1,7,11550,136949,1,1538
TahmKench,9,7,8,12888,110373,0,1678
Jhin,5,7,6,14832,245730,0,2296
Taric,1,10,9,9135,29651,0,2296
Jhin,26,5,7,22377,329019,1,2041
Taric,1,8,23,10166,30060,1,2041
Jhin,9,8,5,13989,178185,0,1838
Pantheon,5,8,8,8549,41887,0,1838
Thresh,6,6,43,10804,45334,1,926
Nidalee,22,3,29,13369,58290,1,926
Chogath,26,10,28,16413,104043,0,1253
Ashe,12,10,32,13778,56029,0,1253
Ziggs,5,8,6,14124,239677,0,2018
Senna,12,6,7,15672,148466,0,2018
TahmKench,3,10,14,10317,49850,0,2018
Sett,6,14,37,15287,81300,1,1508
Nunu,15,9,42,17416,142528,1,1508
Syndra,19,7,26,18142,167697,1,1508
Ziggs,7,6,3,16217,311001,1,2024
Senna,7,5,10,14927,156712,1,2024
TahmKench,3,9,14,9626,57390,1,2024
Ahri,2,4,4,6742,62231,0,1057
Jhin,2,2,2,6552,58733,0,1057
Nami,1,3,3,4239,17211,0,1057
Jhin,10,7,11,13983,157386,1,1672
Morgana,9,4,12,10904,51132,1,1672
Jhin,5,6,11,17012,236542,1,2135
Jhin,14,1,9,15163,167662,1,1486
Gragas,10,5,21,11058,49322,0,979
Kaisa,4,8,29,10659,36213,0,979
Kayle,22,10,27,19476,171006,1,1442
Rakan,2,11,44,13599,27355,1,1442
Jhin,21,3,7,22724,388500,1,2636
Ziggs,3,6,17,12643,175610,1,2636
Taliyah,3,9,13,17054,497643,0,2772
Pantheon,12,3,3,15762,211940,1,1681
Vayne,3,9,3,12710,157566,1,1990
Chogath,6,11,7,13516,213478,0,2027
Volibear,8,2,3,16724,266277,1,1878
Chogath,8,0,2,15799,219952,1,1703
Zeri,12,4,17,13310,115398,1,953
Jinx,11,10,15,13026,116647,0,1098
Smolder,5,6,15,11726,76909,0,1018
Illaoi,2,0,1,8258,93335,1,913
Yuumi,0,0,13,4573,6059,1,913
Illaoi,10,9,4,17778,327527,0,2411
Soraka,1,8,10,9274,15459,0,2411
Veigar,10,8,7,12123,85426,0,1062
Nami,1,6,14,9973,22402,0,1062
Ambessa,8,8,3,11405,142899,0,1564
Malphite,3,11,5,7530,80098,0,1564
Urgot,16,7,7,20204,227416,0,1559
Briar,11,10,9,16320,169249,0,1559
Veigar,9,16,7,24173,286881,1,2597
Yone,19,16,13,30151,449591,1,2597
Yasuo,9,9,3,19803,210550,1,1597
Yone,5,8,10,15128,165345,1,1597
Akali,12,2,2,11588,118516,0,1194
Anivia,17,6,36,12543,79508,1,846
Karma,11,7,38,10653,30722,1,846
Malzahar,9,11,23,15569,126434,1,1282
Lucian,16,10,29,14593,60011,1,1282
Illaoi,8,3,4,14651,230520,1,1694
Malphite,4,2,14,11378,146212,1,1437
Nami,4,7,53,14917,114548,0,1446
Irelia,5,12,35,15233,101069,0,1446
DrMundo,10,5,10,14873,189295,1,2012
Chogath,7,1,8,14801,204976,1,1584
Samira,21,10,22,12818,58352,1,679
Vex,9,3,31,10043,52423,1,679
Urgot,10,4,9,14966,169836,1,1696
Ziggs,8,9,10,12664,141406,1,1696
Morgana,10,9,33,19743,119051,0,1838
Volibear,15,12,24,19713,80138,0,1838
Urgot,12,4,6,16720,175079,1,1765
DrMundo,0,7,5,8031,127436,0,1651
Yone,10,5,1,13999,209368,1,1678
Senna,8,4,18,11180,43438,1,1678
Illaoi,6,4,0,10364,140322,0,1287
Rell,1,9,6,5416,10076,0,1287
Illaoi,1,0,0,3321,31907,1,494
Yasuo,3,10,6,17023,177199,1,1566
Yone,6,9,14,16003,143392,1,1566
Jhin,4,14,2,14188,120906,0,1657
Maokai,1,10,15,13056,72855,0,1657
Yasuo,11,14,11,21644,193037,1,2034
Yone,12,9,15,25244,307100,1,2034
Vayne,6,6,7,12250,66268,1,1120
Maokai,5,1,10,11619,52873,1,1120
Mordekaiser,13,10,5,21974,204252,0,1920
Ezreal,5,17,1,15741,111714,0,1920
Poppy,1,9,7,13407,48790,0,1920
Illaoi,10,8,7,18860,180810,0,1432
Jhin,3,10,3,13075,120989,0,1432
Nami,2,11,13,10841,31033,0,1432
Illaoi,1,3,0,7209,71700,0,765
Briar,2,2,0,7005,77038,0,765
Pantheon,1,6,1,5348,14506,0,765
Illaoi,8,3,9,16247,163989,1,1282
Briar,5,7,4,13031,143503,1,1282
Jhin,6,7,12,15912,151355,1,1390
Nami,3,9,12,12994,21715,1,1390
Mordekaiser,14,4,2,17036,226310,1,1844
DrMundo,6,6,8,14425,195407,0,1861
Urgot,16,4,10,19004,219884,1,2077
Velkoz,4,12,16,12413,118891,1,2077
Illaoi,7,9,16,18776,309119,1,2461
Illaoi,3,5,2,9577,162719,0,1534
Jhin,19,8,12,23455,251214,1,1452
Yuumi,3,4,30,12887,12345,1,1452
Jhin,13,1,1,12649,70269,1,686
Soraka,0,3,14,6422,6477,1,686
Jhin,12,5,12,17152,147023,1,1479
Nami,4,8,20,12585,19785,1,1479
Pantheon,13,3,6,13786,149834,1,1399
Nami,1,5,14,7116,22049,1,1399
Pantheon,8,4,3,12783,99067,0,1125
Zyra,2,6,5,9555,36723,0,1125
Sona,2,9,41,12232,34673,0,1216
Syndra,5,9,16,12571,96975,0,1216
Pantheon,11,10,14,16269,208065,1,2375
Nami,3,9,35,12283,55739,1,2375
Sett,4,6,2,8091,67907,0,1348
Milio,0,7,3,4766,14324,0,1348
Yorick,7,15,4,15735,237290,1,2201
RekSai,7,4,14,15984,310567,1,2201
Pantheon,14,10,14,20457,150775,1,1678
Jhin,8,12,26,20024,230187,1,1808
Mordekaiser,9,0,7,15665,216769,1,1360
Sett,6,10,7,13966,106222,0,1358
Pantheon,5,3,2,7907,38665,1,757
Urgot,18,0,8,21128,255966,1,1808
Veigar,11,8,4,12637,166516,1,1808
Sett,7,2,3,15871,128279,1,984
Talon,16,6,2,14852,75756,1,984
Sett,2,11,4,13079,140502,0,1531
Lillia,10,5,8,17756,195223,0,1531
Lux,10,7,2,17798,148327,0,1531
Sett,11,3,3,18932,187682,1,1138
Brand,1,7,8,9654,62361,1,1138
DrMundo,5,6,1,18470,228771,1,1640
Samira,7,13,2,17511,137701,1,1640
DrMundo,8,7,7,16704,173314,0,1448
Lillia,8,12,7,16149,151102,0,1448
Ornn,3,13,7,16838,127457,1,1883
DrMundo,15,8,11,24747,353596,1,1883
Kennen,4,4,3,10113,123523,1,1866
DrMundo,11,2,13,12550,249379,1,1624
Maokai,1,7,13,10750,67078,1,2020
Nocturne,18,12,17,27217,383607,0,2158
Amumu,15,17,19,23426,195330,0,2158
Gragas,10,12,10,20431,266585,0,1812
Viktor,4,14,12,15966,156779,0,1812
DrMundo,9,12,15,19086,350431,1,2733
Ivern,6,0,10,13924,373628,1,2044
Sona,4,5,17,10520,36759,1,2044
Talon,4,5,0,7483,64316,0,1181
Karma,2,6,6,6235,14274,0,1181
Lillia,6,9,2,16202,216533,0,1451
Xayah,7,9,2,18194,179099,0,1451
Elise,4,11,4,13936,46040,0,1451
Zac,16,10,15,24114,153104,1,2095
Lillia,13,11,13,25330,347706,1,2044
Malphite,2,7,10,11693,148814,0,1926
Smolder,6,3,4,14759,162392,1,1296
Amumu,2,3,5,11959,183242,1,1296
Talon,11,6,2,14676,105652,1,1296
Lillia,8,4,5,13422,135939,0,1187
Aatrox,4,10,4,11436,66368,0,1187
Ornn,2,6,8,9908,44114,0,1187
KogMaw,8,16,21,12548,65882,0,1202
Vex,20,12,30,16612,115016,0,1202
Renata,1,12,42,11319,22492,0,1202
Kaisa,3,4,2,9426,96410,0,1662
Brand,7,6,7,9607,74436,0,1662
Zyra,9,12,32,19894,152762,1,1838
Senna,32,11,36,30219,369551,1,1838
Zac,7,8,31,14789,61613,1,1347
Soraka,4,6,46,13667,38501,1,1347
Gangplank,8,7,14,9136,37117,0,662
Blitzcrank,10,7,16,11328,45801,0,788
Jinx,12,11,22,14545,82431,0,1245
Pyke,14,10,27,14232,51131,0,1245
Shyvana,8,4,15,18750,149380,1,1256
Lillia,16,2,7,18750,121242,1,1256
Sivir,14,11,34,16361,102868,0,1319
Caitlyn,19,12,32,17361,136723,0,1319
Nautilus,4,8,23,9477,17914,1,887
Akshan,27,8,16,17106,96105,1,887
Taliyah,13,17,20,18167,118962,0,1702
Kaisa,24,11,25,23696,193129,0,1702
Jhin,8,6,9,18002,127665,1,1558
Gragas,10,5,8,19059,121130,1,1558
Darius,6,13,13,16500,52234,1,1350
Aurora,19,4,7,16500,145224,1,1350
Lux,5,1,4,7729,84613,1,941
Morgana,4,0,5,6416,13071,1,941
Zac,4,5,5,12815,261927,0,2231
Samira,10,8,3,17395,267542,0,2231
Taric,1,3,12,10400,31711,0,2231
Kindred,5,11,11,11221,41296,0,1133
Cassiopeia,15,11,15,13761,65783,0,1133
Janna,3,8,29,10875,13464,0,1133
Malzahar,5,18,30,14299,67417,1,1419
Aurora,18,12,45,17987,149657,1,1419
TwistedFate,15,15,26,17566,100353,1,1419
Xerath,11,8,24,14015,92428,0,1243
Lulu,3,6,54,12998,28968,0,1243
Vayne,8,9,3,10505,99992,0,1237
Nautilus,3,6,8,10500,53582,0,1237
Anivia,20,4,35,16017,119479,1,970
Samira,6,8,7,7535,22226,0,532
Anivia,11,8,34,18221,168942,1,1488
Malphite,13,10,9,13956,66233,0,1111
Lucian,9,8,20,11392,66508,0,848
Mordekaiser,20,7,31,15763,111976,1,1021
Smolder,25,9,18,20818,276429,1,1408
Zilean,7,6,41,14275,74197,0,1238
Urgot,3,6,5,7500,31579,0,1335
Varus,6,7,2,7502,48910,0,1335
Soraka,3,7,22,10193,22664,0,2229
Vayne,15,8,6,16022,87842,1,1391
Thresh,6,4,14,16008,66122,1,1391
Lulu,3,13,34,12244,18328,0,1313
FiddleSticks,19,13,21,16457,118215,0,1313
Aatrox,11,17,19,16757,69424,1,1476
Morgana,15,13,34,18340,100842,1,1476
Amumu,4,6,5,9500,35525,0,1328
Varus,5,6,4,9500,51740,0,1328
Nunu,3,4,0,5275,91533,0,969
Senna,0,4,5,4558,9075,0,969
Nunu,2,3,3,4836,79637,0,915
Senna,1,1,3,4341,10624,0,915
Kayn,12,0,2,11084,206035,1,1263
Velkoz,3,2,8,6656,39651,1,1263
Kayn,16,10,8,16003,113393,1,1481
Leona,8,3,16,16000,65050,1,1481
Kindred,10,1,21,9269,36164,1,651
Velkoz,7,1,23,7722,31004,1,651
Riven,5,13,19,12230,55428,0,1200
Chogath,15,8,25,15417,91547,0,1200
Pyke,6,8,4,9880,40110,0,1590
Ornn,5,6,6,10570,58977,0,1590
Camille,3,6,2,7000,25047,0,1469
Akshan,2,6,3,7030,49694,0,1469
Gangplank,7,8,2,10792,59332,1,1215
Taliyah,3,6,7,10268,101497,1,1215
Veigar,4,15,15,11143,36163,1,1102
Smolder,2,8,16,11476,73861,1,1102
Yuumi,2,2,45,9622,14756,1,809
MasterYi,33,12,9,16167,80633,1,809
Leblanc,4,7,8,10556,37319,1,1359
Varus,8,9,4,10616,118700,1,1359
Skarner,5,10,30,11618,47481,0,1017
Viego,8,12,24,11567,66466,0,1017
Soraka,3,6,42,10650,20047,0,1017
Renata,5,11,18,13299,27402,0,1290
Xerath,18,7,13,15916,110407,0,1290
Chogath,7,8,8,12509,53020,0,1290
Lissandra,15,11,37,17813,133096,1,1501
Senna,8,3,60,18284,108400,1,1501
Lux,4,7,4,9750,31863,0,1468
Morgana,5,7,4,9750,71634,0,1468
Mordekaiser,5,10,6,11850,48721,0,1224
Mordekaiser,5,6,2,8250,45385,0,1224
Pantheon,12,14,12,18506,116507,1,1484
Chogath,12,4,13,18546,88724,1,1484
Vladimir,7,11,21,13361,63031,1,1137
Blitzcrank,7,8,31,12587,30075,1,1137
Yuumi,2,6,36,10236,13638,0,1041
Nunu,7,14,29,12077,71891,0,1041
Jinx,10,10,19,11994,57124,0,1120
Samira,8,19,21,12957,72103,0,1120
Lux,7,5,5,10505,54504,0,1306
Morgana,5,5,7,10510,91942,0,1306
Sett,8,7,3,10250,46049,0,1291
Nunu,4,7,8,10250,42272,0,1291
Smolder,9,10,4,15963,238992,0,2101
DrMundo,6,2,4,11276,128993,1,1303
Smolder,3,4,5,13255,194899,0,1894
Shen,8,7,10,13493,148479,1,2176
Illaoi,7,11,3,13117,193366,1,1945
Kled,5,9,4,10512,127660,0,1819
Anivia,4,6,7,11000,65861,0,1373
Brand,8,8,5,11130,107905,0,1373
Anivia,2,7,13,13252,81535,1,1347
Malzahar,15,9,2,13486,108247,1,1347
Cassiopeia,15,10,14,15574,107138,0,1199
Kayle,12,5,22,11815,62202,1,772
Malzahar,8,8,11,13749,94074,0,1151
Nasus,3,6,5,10549,128162,1,1691
Taric,4,11,6,9750,48024,0,1498
Leona,6,6,4,9797,64507,0,1498
Zed,12,18,12,16010,58439,0,1599
Lillia,17,12,36,19860,149960,0,1599
Lissandra,3,17,22,13273,95946,0,1305
Lulu,4,13,43,13450,25237,0,1305
Lux,1,4,20,9751,69033,0,950
Yone,8,11,13,10809,47941,0,950
Kayle,6,7,17,14930,157427,1,1169
Nautilus,5,6,15,12314,32916,1,1169
Urgot,1,7,3,11286,156740,0,1899
Aphelios,8,5,22,9610,45200,1,696
Annie,4,5,32,8745,33945,1,696
Amumu,10,10,11,12911,33011,1,1125
DrMundo,4,4,30,13760,104246,1,1125
Thresh,5,9,2,7510,27361,0,1209
DrMundo,3,5,5,7500,39105,0,1209
Vex,9,11,23,13777,56987,1,1253
Viktor,23,10,31,19524,145465,1,1253
Veigar,16,7,2,15940,150628,1,1365
Sylas,2,8,15,15760,137709,1,1365
Kayn,11,9,12,14247,253204,1,1794
Senna,2,8,13,9177,30189,1,1794
Veigar,1,7,1,6250,24771,0,1319
Viktor,1,7,1,6741,35037,0,1319
Mordekaiser,15,14,21,14601,75354,1,1274
Zac,8,14,42,14302,68276,1,1274
Kindred,21,8,18,16358,90829,1,1188
Aurora,16,7,32,15752,109271,1,1188
Jinx,10,7,12,10119,37935,1,786
Veigar,9,6,17,9556,42555,1,786
Mordekaiser,2,8,15,13500,117163,1,1344
Chogath,16,5,2,13500,176869,1,1344
Amumu,16,15,31,14479,69478,1,1161
Swain,14,9,44,14855,107661,1,1161
Talon,1,9,6,7500,65047,0,1243
Kayn,6,6,0,7520,43972,0,1243
Lux,13,9,7,18207,260941,1,2638
Morgana,7,4,17,16045,166621,1,2638
Volibear,7,12,25,11956,34468,1,1066
Nami,2,3,49,11819,42759,1,1066
Sion,2,9,11,14010,54212,1,1243
Chogath,12,6,2,13077,77501,1,1243
Vex,0,5,4,6394,85534,0,1258
Fiora,3,14,8,12066,146142,1,2069
Veigar,2,1,0,7021,79881,1,1065
Kayn,1,7,7,7750,30811,0,1329
Karthus,24,16,36,21894,193347,0,1577
Illaoi,6,1,3,12003,144535,1,1312
Aurora,13,11,20,17016,95525,1,1477
Ashe,10,6,16,12495,68740,1,1020
Senna,7,6,17,13147,54024,0,1053
Zyra,8,7,29,12650,91480,1,1083
Mordekaiser,14,14,35,19409,168543,1,1625
Corki,8,10,12,11306,68239,0,935
Thresh,3,8,24,9056,35256,0,869
Chogath,9,11,17,12137,49439,0,1145
Samira,12,13,31,13611,55914,1,1053
Aurora,13,0,7,12214,127859,1,1031
Strawberry_Xayah,0,0,0,7408,29856354,1,1036
Strawberry_Riven,0,1,0,7335,25646456,1,1036
Strawberry_Xayah,0,0,0,584,690453,0,158
Strawberry_Riven,0,1,0,584,336663,0,158
Strawberry_Xayah,0,0,0,6689,41536036,1,1137
Strawberry_Yasuo,0,8,0,6762,14919780,1,1137
Strawberry_Xayah,0,0,0,7929,30197848,0,1101
Strawberry_Xayah,0,5,0,7856,23144350,0,1101
Strawberry_Yasuo,0,0,0,8681,45826984,1,1016
Strawberry_Xayah,0,4,0,8681,41858320,1,1016
Strawberry_Yasuo,0,3,0,7648,33014274,0,1015
Strawberry_Xayah,0,2,0,7721,62362996,0,1015
Strawberry_Leona,0,2,0,6139,16801264,1,956
Strawberry_Xayah,0,0,0,6139,39049668,1,956
Strawberry_Jinx,0,2,0,6417,10266916,1,932
Strawberry_Xayah,0,0,0,6417,28589466,1,932
Strawberry_Riven,0,5,0,6844,6237763,1,1165
Strawberry_Xayah,0,2,0,6844,38606044,1,1165
Strawberry_Riven,0,4,0,1202,315638,0,322
Strawberry_Xayah,0,1,0,1202,2832544,0,322
Strawberry_Yasuo,0,2,0,7537,4953040,1,946
Strawberry_Xayah,0,0,0,7537,35227496,1,946
Strawberry_Briar,0,6,0,4265,12545385,1,999
Strawberry_Xayah,0,0,0,4475,51427728,1,999
Strawberry_Seraphine,0,8,0,7366,1747845,1,936
Strawberry_Xayah,0,0,0,8698,54155960,1,936
Strawberry_Yasuo,0,2,0,6584,32192846,1,948
Strawberry_Xayah,0,3,0,6584,13317263,1,948
Strawberry_Yasuo,0,3,0,6021,15711950,1,1002
Strawberry_Yasuo,0,3,0,6021,14826670,1,1002
Strawberry_Yasuo,0,0,0,8650,35777608,1,951
Strawberry_Yasuo,0,2,0,8650,23733896,1,951
Strawberry_Yasuo,0,2,0,7774,37042736,0,972
Strawberry_Xayah,0,4,0,7774,34151628,0,972
Lux,0,6,5,4501,36702,0,965
Karma,1,4,1,3973,7970,0,965
Urgot,8,4,6,10809,95365,1,1339
DrMundo,1,1,2,9142,104068,1,1178
Swain,11,8,24,13826,92225,1,1014
Strawberry_Briar,0,0,0,6189,24547826,1,1052
Strawberry_Yasuo,0,4,0,6847,43933844,0,1006
Strawberry_Xayah,0,0,0,7470,30231170,1,930
Strawberry_Xayah,0,1,0,935,1268363,0,295
Strawberry_Xayah,0,0,0,5381,24814792,1,955
Strawberry_Xayah,0,1,0,181,207858,0,107
Strawberry_Xayah,0,1,0,175,177221,0,108
Strawberry_Xayah,0,1,0,234,116027,0,97
Strawberry_Xayah,0,1,0,190,182824,0,106
Strawberry_Xayah,0,1,0,263,228346,0,114
Strawberry_Xayah,0,1,0,219,196931,0,108
Strawberry_Xayah,0,1,0,292,181125,0,109
Strawberry_Xayah,0,1,0,269,156101,0,103
Strawberry_Xayah,0,1,0,307,131502,0,101
Strawberry_Xayah,0,1,0,362,278000,0,136
Strawberry_Xayah,0,1,0,263,165497,0,102
Strawberry_Xayah,0,1,0,190,142009,0,100
Strawberry_Xayah,0,1,0,219,174194,0,113
Strawberry_Xayah,0,1,0,263,157677,0,105
Strawberry_Xayah,0,1,0,190,112789,0,98
Strawberry_Xayah,0,1,0,263,132369,0,99
Strawberry_Xayah,0,1,0,283,151646,0,103
Strawberry_Xayah,0,1,0,263,106352,0,96
Strawberry_Xayah,0,1,0,234,109599,0,100
Strawberry_Xayah,0,1,0,263,127596,0,102
Strawberry_Xayah,0,1,0,234,140027,0,100
Strawberry_Xayah,0,1,0,292,136115,0,106
Strawberry_Xayah,0,1,0,234,141384,0,104
Strawberry_Xayah,0,1,0,336,165855,0,114
Strawberry_Xayah,0,1,0,321,108413,0,97
Strawberry_Xayah,0,1,0,336,156112,0,106
Strawberry_Xayah,0,1,0,277,145793,0,105
Strawberry_Xayah,0,1,0,263,118285,0,98
Strawberry_Xayah,0,1,0,307,167569,0,106
Strawberry_Xayah,0,1,0,234,114997,0,99
Strawberry_Xayah,0,1,0,307,187803,0,109
Strawberry_Xayah,0,1,0,321,135082,0,98
Strawberry_Xayah,0,1,0,234,143026,0,101
Strawberry_Xayah,0,1,0,307,158129,0,107
Strawberry_Xayah,0,1,0,263,102346,0,102
Strawberry_Xayah,0,1,0,336,173085,0,110
Strawberry_Xayah,0,1,0,292,170215,0,104
Strawberry_Xayah,0,1,0,292,248203,0,121
Strawberry_Xayah,0,1,0,234,178021,0,106
Strawberry_Xayah,0,1,0,248,130477,0,100
Strawberry_Yasuo,0,0,0,4098,20131716,1,917
Strawberry_Yasuo,0,1,0,5629,22012078,1,1090
Strawberry_Briar,0,4,0,6756,20271144,0,989
Strawberry_Briar,0,4,0,6218,10994259,0,822
Strawberry_Leona,0,0,0,7651,24959064,1,1027
Strawberry_Leona,0,0,0,321,266006,0,117
Strawberry_Leona,0,0,0,380,345567,0,124
Strawberry_Illaoi,0,0,0,6753,31395290,1,1118
Strawberry_Aurora,0,0,0,6993,22436382,1,1103
Strawberry_Leona,0,3,0,5882,23559680,0,1138
Strawberry_Seraphine,0,0,0,6882,24463584,1,1128
Strawberry_Jinx,0,0,0,8488,30779714,1,1050
Strawberry_Yasuo,0,0,0,4330,15935481,1,1018
Strawberry_Xayah,0,0,0,5089,26981224,1,962
Strawberry_Xayah,0,0,0,4691,39696960,1,958
Strawberry_Seraphine,0,3,0,4837,15588848,1,958
Kayn,16,4,5,16050,148887,1,1209
Zac,1,8,3,6681,69304,0,1372
Zac,6,3,10,11072,111080,1,1497
Illaoi,0,0,0,1136,8063,1,226
Strawberry_Riven,0,1,0,9131,21534660,1,1009
Strawberry_Xayah,0,0,0,8543,23172216,1,1045
Strawberry_Xayah,0,1,0,58,8211,0,41
Strawberry_Yasuo,0,2,0,9397,40589428,1,970
Strawberry_Leona,0,1,0,9397,27104016,1,970
Strawberry_Yasuo,0,0,0,1247,801788,0,303
Strawberry_Leona,0,0,0,1247,960363,0,303
Strawberry_Yasuo,0,1,0,6517,23500766,1,1058
Strawberry_Xayah,0,5,0,6517,17950136,1,1058
Strawberry_Yasuo,0,0,0,4997,37946024,1,959
Strawberry_Xayah,0,1,0,4997,28530050,1,959
Strawberry_Yasuo,0,1,0,973,666869,0,291
Strawberry_Xayah,0,1,0,973,748680,0,291
Strawberry_Yasuo,0,0,0,4340,32397296,1,1071
Strawberry_Briar,0,3,0,4340,13028509,1,1071
Strawberry_Yasuo,0,1,0,1322,3292135,0,509
Strawberry_Briar,0,4,0,1322,2572065,0,509
Strawberry_Yasuo,0,1,0,6634,22307084,0,1261
Strawberry_Yasuo,0,0,0,4003,30641420,1,1021
Strawberry_Yasuo,0,0,0,5823,23404662,1,1085
Strawberry_Yasuo,0,1,0,4633,17224302,0,1023
Strawberry_Xayah,0,2,0,4633,10507619,0,1023
Strawberry_Yasuo,0,2,0,4208,30324418,1,972
Strawberry_Yasuo,0,4,0,4256,17637468,1,972
Strawberry_Yasuo,0,1,0,60,3672,0,56
Strawberry_Yasuo,0,0,0,77,9594,0,56
Strawberry_Seraphine,0,1,0,3360,6973121,1,927
Strawberry_Seraphine,0,0,0,3360,5760538,1,927
