champion,kills,deaths,assists,gold,damage,win,duration
Mordekaiser,3,6,1,4260,13487,0,1148
Urgot,0,4,1,3750,11446,0,1148
Thresh,2,4,3,4250,5498,0,1148
MissFortune,7,5,7,12100,160746,1,1686
Quinn,9,7,6,14165,216424,1,1686
Darius,2,6,2,7010,8030,0,1686
Kindred,5,7,1,11260,51799,0,1359
Olaf,4,6,7,10325,119568,0,1359
Akali,7,7,2,13890,34207,0,1359
Leona,5,5,4,10510,39664,1,1430
Smolder,6,9,5,10500,84640,1,1430
Sett,6,8,12,24516,105550,1,1498
Diana,18,4,6,27797,176104,1,1498
Kennen,17,3,5,17480,106394,1,1347
TahmKench,8,2,17,20950,100873,1,1347
Jhin,9,7,3,14324,216870,1,2192
Zyra,4,9,9,11532,79400,1,2192
Caitlyn,10,1,0,9409,82649,1,1006
Janna,1,0,11,5339,13166,1,1006
Zilean,16,6,37,17105,127551,0,1379
Galio,5,9,43,13625,74930,0,1379
Jhin,0,1,0,3235,26678,0,598
Leona,0,0,0,2081,4576,0,598
Samira,23,7,7,19271,245595,1,2035
Leona,3,4,27,11079,36257,1,2035
Swain,16,10,17,16194,216909,0,2196
Pantheon,32,14,10,19470,121437,0,2196
Samira,2,3,0,5818,42794,0,974
Poppy,0,3,3,3702,8499,0,974
Lillia,14,0,5,11380,191616,1,1358
Anivia,2,3,6,7814,85600,1,1358
Yorick,7,5,8,13918,278729,1,2035
TahmKench,14,5,13,14975,88499,1,2035
Zeri,12,1,13,20415,271593,1,1397
Ahri,5,7,3,7535,26602,0,1397
TahmKench,9,5,6,13750,72393,1,1472
Volibear,6,7,9,11500,29294,1,1472
Yorick,10,5,6,13708,178789,1,1488
RekSai,5,7,2,9546,24286,0,1488
Kindred,24,6,4,24510,229954,1,1473
Leblanc,4,7,1,6765,22715,0,1473
Kassadin,18,4,4,19750,171034,1,1600
Morgana,4,4,18,18350,38037,1,1600
Zeri,11,5,2,11330,121956,0,1545
Karthus,7,7,17,21335,63219,1,1545
Zac,7,5,9,13760,93444,1,1497
Malzahar,7,7,5,10500,50642,0,1497
Chogath,15,4,15,18550,113803,1,1812
Varus,16,6,0,17253,152115,1,1389
Tristana,13,5,4,13750,193585,1,1499
Katarina,10,4,6,20000,139802,1,1577
Hwei,2,6,0,6500,15671,0,1577
Leona,9,6,7,11321,101265,1,1399
Chogath,5,8,5,11021,16992,0,1399
Syndra,10,5,1,13778,72736,1,1458
Seraphine,2,7,9,14756,21632,0,1458
Riven,9,8,1,14512,71114,1,1757
Ornn,3,6,8,10756,24577,1,1757
TahmKench,8,5,5,19510,59903,0,1572
Leblanc,5,9,7,19500,30849,0,1572
Tristana,19,8,5,20020,397800,1,1493
Malphite,5,2,18,20020,37209,1,1493
Mel,11,5,0,10568,134441,1,1670
Morgana,0,6,11,10512,21360,1,1670
Gnar,7,5,12,18500,175901,1,1633
Brand,12,10,7,21000,67032,1,1633
Udyr,5,8,12,15500,102740,1,1306
Karthus,13,12,5,15500,72775,1,1306
Yuumi,0,6,4,6750,12522,0,1396
Kassadin,4,8,2,6750,20556,0,1396
Jinx,15,6,5,17000,137183,1,1474
Vex,6,5,4,10250,34614,0,1474
Kayn,7,7,3,10550,136023,0,1480
Graves,3,7,5,10453,16174,0,1480
Smolder,14,5,5,14534,128070,1,1449
Udyr,6,8,12,13626,70587,1,1449
Teemo,6,7,10,14370,147493,1,1202
Akshan,10,5,4,12440,51254,1,1202
Annie,13,5,5,17521,94166,1,1553
Velkoz,5,6,13,17500,54949,1,1553
XinZhao,8,4,12,16821,127140,1,1499
Heimerdinger,17,6,7,18876,111379,1,1499
Malphite,6,6,4,9755,54945,0,1565
Maokai,5,6,11,14100,89573,1,1565
Illaoi,11,7,5,16128,102574,1,1565
Teemo,2,6,5,10755,25105,0,1302
Kalista,15,5,4,19585,293681,1,1302
Karma,4,5,15,19515,26412,1,1302
Viego,7,6,5,10788,47926,1,1593
Amumu,1,7,2,6250,24510,0,1593
Braum,2,6,1,6265,10944,0,1593
Akshan,3,4,3,6850,29744,0,1260
Annie,9,3,6,11022,70699,1,1260
Lux,6,5,9,11060,30495,1,1260
DrMundo,14,4,9,18601,187860,1,1611
Kalista,9,13,10,18550,56041,1,1611
